district_point_version_id,district_id,requested_census_version,geometry_census_version,boundary_feature_index,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,boundary_state_name,boundary_district_name,latitude,longitude,point_wkt,point_method,assignment_method,assignment_confidence,shared_parent_boundary,geometry_was_valid,geometry_repaired,geometry_repair_method,point_inside_geometry
DPV_8C412FD452230A53,IND_ANDHRA_PRADESH_ANANTAPUR,Census 2001,Census 2001,1,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,Anantapur,14.45698852,77.50944784,POINT (77.50944784307293 14.45698851952979),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_EB9A59D66BEA9DEB,IND_ANDHRA_PRADESH_ANANTAPUR,Census 2011,Census 2011,19,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,ANANTAPUR,Andhra Pradesh,Anantapur,14.45698852,77.50944784,POINT (77.50944784307293 14.45698851952979),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_F04C6D8B26AD2F9F,IND_ANDHRA_PRADESH_CHITTOOR,Census 2001,Census 2001,93,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,Chittoor,13.30744112,78.98230736,POINT (78.98230736449932 13.307441118203194),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_D45432B2DDF44771,IND_ANDHRA_PRADESH_CHITTOOR,Census 2011,Census 2011,119,Andhra Pradesh,CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh,Chittoor,13.30744112,78.98230736,POINT (78.98230736449932 13.307441118203194),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_624B2DA5EB3F7FF0,IND_ANDHRA_PRADESH_EAST_GODAVARI,Census 2001,Census 2001,151,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,East Godavari,17.16205937,82.05657923,POINT (82.05657922860013 17.162059368234516),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_1C03475A8960BC03,IND_ANDHRA_PRADESH_EAST_GODAVARI,Census 2011,Census 2011,168,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,East Godavari,17.16205937,82.05657923,POINT (82.05657922860013 17.162059368234516),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_41A8C2F00CB3BCBB,IND_ANDHRA_PRADESH_GUNTUR,Census 2001,Census 2001,186,Andhra Pradesh,GUNTUR,Andhra Pradesh,GUNTUR,Andhra Pradesh,Guntur,16.28679727,80.18361384,POINT (80.18361384418623 16.28679727271451),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_2126D7FC453C8C4D,IND_ANDHRA_PRADESH_GUNTUR,Census 2011,Census 2011,210,Andhra Pradesh,GUNTUR,Andhra Pradesh,GUNTUR,Andhra Pradesh,Guntur,16.28679727,80.18361384,POINT (80.18361384418623 16.28679727271451),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_DACF3FD6C309AED6,IND_ANDHRA_PRADESH_HYDERABAD,Census 2001,Census 2001,215,Andhra Pradesh,HYDERABAD,Andhra Pradesh,HYDERABAD,Andhra Pradesh,Hyderabad,17.38931282,78.45656472,POINT (78.45656472067034 17.38931282146857),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_F0E94A4220D3927E,IND_ANDHRA_PRADESH_HYDERABAD,Census 2011,Census 2011,231,Andhra Pradesh,HYDERABAD,Andhra Pradesh,HYDERABAD,Andhra Pradesh,Hyderabad,17.38931282,78.45656472,POINT (78.45656472067034 17.38931282146857),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_382F20FFFFA79C1C,IND_ANDHRA_PRADESH_KADAPA,Census 2001,Census 2001,14,Andhra Pradesh,KADAPA,Andhra Pradesh,KADAPA,Andhra Pradesh,Adilabad,19.29892001,79.08081669,POINT (79.08081668638252 19.298920005651425),geometry.representative_point,working_fuzzy_same_state,working_fallback,1,1,0,,1
DPV_E654110DB37FBBE9,IND_ANDHRA_PRADESH_KADAPA,Census 2011,Census 2011,0,Andhra Pradesh,KADAPA,Andhra Pradesh,KADAPA,Andhra Pradesh,Adilabad,19.29892001,79.08081669,POINT (79.08081668638252 19.298920005651425),geometry.representative_point,working_fuzzy_same_state,working_fallback,1,1,0,,1
DPV_F924E1E723AF38FA,IND_ANDHRA_PRADESH_KARIMNAGAR,Census 2001,Census 2001,166,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,Karimnagar,18.53056102,79.39247751,POINT (79.39247751237764 18.53056102409102),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_7766E41A01340160,IND_ANDHRA_PRADESH_KARIMNAGAR,Census 2011,Census 2011,285,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,Karimnagar,18.53056102,79.39247751,POINT (79.39247751237764 18.53056102409102),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_672EE507216FFBBC,IND_ANDHRA_PRADESH_KHAMMAM,Census 2001,Census 2001,258,Andhra Pradesh,KHAMMAM,Andhra Pradesh,KHAMMAM,Andhra Pradesh,Khammam,17.70196913,80.81262778,POINT (80.81262777557129 17.70196913045854),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_CC2C8EE71B6B6903,IND_ANDHRA_PRADESH_KHAMMAM,Census 2011,Census 2011,296,Andhra Pradesh,KHAMMAM,Andhra Pradesh,KHAMMAM,Andhra Pradesh,Khammam,17.70196913,80.81262778,POINT (80.81262777557129 17.70196913045854),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_BD5217429906253D,IND_ANDHRA_PRADESH_KRISHNA,Census 2001,Census 2001,290,Andhra Pradesh,KRISHNA,Andhra Pradesh,KRISHNA,Andhra Pradesh,Krishna,16.4282665,81.06260897,POINT (81.06260897419548 16.4282665012392),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_AA932CF2EB720738,IND_ANDHRA_PRADESH_KRISHNA,Census 2011,Census 2011,322,Andhra Pradesh,KRISHNA,Andhra Pradesh,KRISHNA,Andhra Pradesh,Krishna,16.4282665,81.06260897,POINT (81.06260897419548 16.4282665012392),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_8A0AF5693217E6D6,IND_ANDHRA_PRADESH_KURNOOL,Census 2001,Census 2001,291,Andhra Pradesh,KURNOOL,Andhra Pradesh,KURNOOL,Andhra Pradesh,Kurnool,15.55488248,77.90436643,POINT (77.90436642642996 15.554882484360451),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_3BF2B758C421223D,IND_ANDHRA_PRADESH_KURNOOL,Census 2011,Census 2011,327,Andhra Pradesh,KURNOOL,Andhra Pradesh,KURNOOL,Andhra Pradesh,Kurnool,15.55488248,77.90436643,POINT (77.90436642642996 15.554882484360451),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_2BAAC89700EC1D5A,IND_ANDHRA_PRADESH_MAHBUBNAGAR,Census 2001,Census 2001,319,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,Mahbubnagar,16.53450806,78.02633081,POINT (78.02633081394589 16.53450805788684),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_044120CCF9964786,IND_ANDHRA_PRADESH_MAHBUBNAGAR,Census 2011,Census 2011,352,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,MAHBUBNAGAR,Andhra Pradesh,Mahbubnagar,16.53450806,78.02633081,POINT (78.02633081441223 16.53450805788684),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_C76E8EF70C99041C,IND_ANDHRA_PRADESH_MEDAK,Census 2001,Census 2001,267,Andhra Pradesh,MEDAK,Andhra Pradesh,MEDAK,Andhra Pradesh,Medak,17.85932596,78.22147265,POINT (78.22147265426705 17.85932595899793),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_81CC2B23DE95DBCD,IND_ANDHRA_PRADESH_MEDAK,Census 2011,Census 2011,371,Andhra Pradesh,MEDAK,Andhra Pradesh,MEDAK,Andhra Pradesh,Medak,17.85932596,78.22147265,POINT (78.22147265426705 17.85932595899793),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_FFE6CCF38914C169,IND_ANDHRA_PRADESH_NALGONDA,Census 2001,Census 2001,351,Andhra Pradesh,NALGONDA,Andhra Pradesh,NALGONDA,Andhra Pradesh,Nalgonda,17.09139675,79.41555129,POINT (79.41555129187364 17.091396745989005),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_C0D26A467FA299DC,IND_ANDHRA_PRADESH_NALGONDA,Census 2011,Census 2011,396,Andhra Pradesh,NALGONDA,Andhra Pradesh,NALGONDA,Andhra Pradesh,Nalgonda,17.09139675,79.41555129,POINT (79.41555129187364 17.091396745989005),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_F6580742D50B0819,IND_ANDHRA_PRADESH_NIZAMABAD,Census 2001,Census 2001,368,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,Nizamabad,18.54018049,78.11836768,POINT (78.11836768441283 18.54018049146658),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_E279AEBD50D87C55,IND_ANDHRA_PRADESH_NIZAMABAD,Census 2011,Census 2011,410,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,NIZAMABAD,Andhra Pradesh,Nizamabad,18.54018049,78.11836768,POINT (78.11836768441283 18.54018049146658),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_874D8352B7E1DB35,IND_ANDHRA_PRADESH_PRAKASAM,Census 2001,Census 2001,396,Andhra Pradesh,PRAKASAM,Andhra Pradesh,PRAKASAM,Andhra Pradesh,Prakasam,15.63552072,79.51129157,POINT (79.51129157426956 15.635520724750304),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_584AD4A694A98280,IND_ANDHRA_PRADESH_PRAKASAM,Census 2011,Census 2011,445,Andhra Pradesh,PRAKASAM,Andhra Pradesh,PRAKASAM,Andhra Pradesh,Prakasam,15.63552072,79.51129157,POINT (79.51129157426956 15.635520724750304),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_B41874BFD74D11E3,IND_ANDHRA_PRADESH_RANGAREDDI,Census 2001,Census 2001,435,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,Rangareddi,17.28330467,78.1083152,POINT (78.10831519676728 17.283304668465853),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_14436AE73AE23B3F,IND_ANDHRA_PRADESH_RANGAREDDI,Census 2011,Census 2001,435,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,RANGAREDDI,Andhra Pradesh,Rangareddi,17.28330467,78.1083152,POINT (78.10831519676728 17.283304668465853),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_8246253FD0DE4E55,IND_ANDHRA_PRADESH_SPSR_NELLORE,Census 2001,Census 2001,358,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,Nellore,14.29261723,79.78248572,POINT (79.78248571994804 14.292617232452162),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_D73013BC4E3F919C,IND_ANDHRA_PRADESH_SPSR_NELLORE,Census 2011,Census 2011,408,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,SPSR NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,14.29261723,79.78248572,POINT (79.78248571994804 14.292617232452162),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_5AA7B3BE466EFC9D,IND_ANDHRA_PRADESH_SRIKAKULAM,Census 2001,Census 2001,489,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,Srikakulam,18.62325902,83.97164116,POINT (83.97164116272552 18.62325902425728),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_DCF896EAC4094C9A,IND_ANDHRA_PRADESH_SRIKAKULAM,Census 2011,Census 2011,549,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,Srikakulam,18.62325902,83.97164116,POINT (83.97164116272552 18.62325902425728),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_B893825CD43FB785,IND_ANDHRA_PRADESH_VISAKHAPATANAM,Census 2001,Census 2001,522,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,Visakhapatnam,17.89685606,82.56573335,POINT (82.56573334582953 17.896856064160595),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_EDC99982EC5EB723,IND_ANDHRA_PRADESH_VISAKHAPATANAM,Census 2011,Census 2011,605,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,VISAKHAPATANAM,Andhra Pradesh,Visakhapatnam,17.89685606,82.56573335,POINT (82.56573334582953 17.896856064160595),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_F1A79544EEE99635,IND_ANDHRA_PRADESH_VIZIANAGARAM,Census 2001,Census 2001,523,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,Vizianagaram,18.4945892,83.3118534,POINT (83.31185339594546 18.494589204581022),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_FD7274EAAACC00C9,IND_ANDHRA_PRADESH_VIZIANAGARAM,Census 2011,Census 2011,606,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,Vizianagaram,18.4945892,83.3118534,POINT (83.31185339594552 18.494589204581104),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_2A747C7864049683,IND_ANDHRA_PRADESH_WARANGAL,Census 2001,Census 2001,524,Andhra Pradesh,WARANGAL,Andhra Pradesh,WARANGAL,Andhra Pradesh,Warangal,17.96498909,79.59454073,POINT (79.59454073371029 17.964989092033267),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_33BD1CF8DD2619E5,IND_ANDHRA_PRADESH_WARANGAL,Census 2011,Census 2011,607,Andhra Pradesh,WARANGAL,Andhra Pradesh,WARANGAL,Andhra Pradesh,Warangal,17.96498909,79.59454073,POINT (79.59454073371029 17.964989092033267),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_2F5FC18DCB3694B8,IND_ANDHRA_PRADESH_WEST_GODAVARI,Census 2001,Census 2001,500,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,West Godavari,16.90195707,81.35204003,POINT (81.35204003251269 16.901957072415172),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_37868B3793226B6E,IND_ANDHRA_PRADESH_WEST_GODAVARI,Census 2011,Census 2011,614,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,West Godavari,16.90195707,81.35204003,POINT (81.35204003251269 16.901957072415172),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_01760DACED1E9B6B,IND_ARUNACHAL_PRADESH_ANJAW,Census 2001,Census 2011,21,Arunachal Pradesh,ANJAW,Arunachal Pradesh,ANJAW,Arunanchal Pradesh,Anjaw,28.03733239,96.84616526,POINT (96.84616525564077 28.037332387391587),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_493BC77513CE8B60,IND_ARUNACHAL_PRADESH_ANJAW,Census 2011,Census 2011,21,Arunachal Pradesh,ANJAW,Arunachal Pradesh,ANJAW,Arunanchal Pradesh,Anjaw,28.03733239,96.84616526,POINT (96.84616525564077 28.037332387391587),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_CD3DE64D9200C3E3,IND_ARUNACHAL_PRADESH_CHANGLANG,Census 2001,Census 2001,86,Arunachal Pradesh,CHANGLANG,Arunachal Pradesh,CHANGLANG,Arunanchal Pradesh,Changlang,27.26853481,96.06218313,POINT (96.06218312637782 27.268534806946796),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_3EC4BC10D660334D,IND_ARUNACHAL_PRADESH_CHANGLANG,Census 2011,Census 2011,108,Arunachal Pradesh,CHANGLANG,Arunachal Pradesh,CHANGLANG,Arunanchal Pradesh,Changlang,27.26853481,96.06218313,POINT (96.06218312637782 27.268534806946796),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_BB87C896FAD9CAE7,IND_ARUNACHAL_PRADESH_DIBANG_VALLEY,Census 2001,Census 2001,141,Arunachal Pradesh,DIBANG VALLEY,Arunachal Pradesh,DIBANG VALLEY,Arunanchal Pradesh,Dibang Valley,28.66893513,95.92175318,POINT (95.92175317656434 28.668935126095803),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_2D48D374BF1D9F69,IND_ARUNACHAL_PRADESH_DIBANG_VALLEY,Census 2011,Census 2011,154,Arunachal Pradesh,DIBANG VALLEY,Arunachal Pradesh,DIBANG VALLEY,Arunanchal Pradesh,Dibang Valley,28.96817262,95.72266254,POINT (95.72266253588518 28.96817262203671),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_BE5CBFCCDBD1D452,IND_ARUNACHAL_PRADESH_EAST_KAMENG,Census 2001,Census 2001,155,Arunachal Pradesh,EAST KAMENG,Arunachal Pradesh,EAST KAMENG,Arunanchal Pradesh,East Kameng,27.44485355,93.06611291,POINT (93.06611291353299 27.444853546206804),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_8A1BB6140FE5B09F,IND_ARUNACHAL_PRADESH_EAST_KAMENG,Census 2011,Census 2011,169,Arunachal Pradesh,EAST KAMENG,Arunachal Pradesh,EAST KAMENG,Arunanchal Pradesh,East Kameng,27.44485355,93.06611291,POINT (93.06611291353299 27.444853546206804),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_724C39BCBC2D7169,IND_ARUNACHAL_PRADESH_EAST_SIANG,Census 2001,Census 2001,167,Arunachal Pradesh,EAST SIANG,Arunachal Pradesh,EAST SIANG,Arunanchal Pradesh,East Siang,28.1553194,95.40060673,POINT (95.40060673372662 28.15531939582887),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_CB302548B2C2F494,IND_ARUNACHAL_PRADESH_EAST_SIANG,Census 2011,Census 2011,172,Arunachal Pradesh,EAST SIANG,Arunachal Pradesh,EAST SIANG,Arunanchal Pradesh,East Siang,28.1553194,95.40060673,POINT (95.40060673372662 28.15531939582887),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_923B528143DBE88D,IND_ARUNACHAL_PRADESH_KURUNG_KUMEY,Census 2001,Census 2011,329,Arunachal Pradesh,KURUNG KUMEY,Arunachal Pradesh,KURUNG KUMEY,Arunanchal Pradesh,Kurung Kumey,27.99138404,93.34244991,POINT (93.34244991211258 27.991384036069),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_F825AB8F5E131925,IND_ARUNACHAL_PRADESH_KURUNG_KUMEY,Census 2011,Census 2011,329,Arunachal Pradesh,KURUNG KUMEY,Arunachal Pradesh,KURUNG KUMEY,Arunanchal Pradesh,Kurung Kumey,27.99138404,93.34244991,POINT (93.34244991211258 27.991384036069),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_03FEFF4DD0A1BEC7,IND_ARUNACHAL_PRADESH_LOHIT,Census 2001,Census 2001,296,Arunachal Pradesh,LOHIT,Arunachal Pradesh,LOHIT,Arunanchal Pradesh,Lohit,28.00142641,96.6909314,POINT (96.69093139512418 28.001426414570915),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_6618697F7880F5E4,IND_ARUNACHAL_PRADESH_LOHIT,Census 2011,Census 2011,340,Arunachal Pradesh,LOHIT,Arunachal Pradesh,LOHIT,Arunanchal Pradesh,Lohit,27.9599009,96.18799094,POINT (96.18799094478638 27.959900899302525),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_C37669C1EE0CA074,IND_ARUNACHAL_PRADESH_LONGDING,Census 2001,Census 2001,86,Arunachal Pradesh,LONGDING,Arunachal Pradesh,LONGDING,Arunanchal Pradesh,Changlang,27.26853481,96.06218313,POINT (96.06218312637782 27.268534806946796),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_6378600D88BB2B5A,IND_ARUNACHAL_PRADESH_LONGDING,Census 2011,Census 2011,108,Arunachal Pradesh,LONGDING,Arunachal Pradesh,LONGDING,Arunanchal Pradesh,Changlang,27.26853481,96.06218313,POINT (96.06218312637782 27.268534806946796),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
DPV_05706E52FA78BFE6,IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY,Census 2001,Census 2011,342,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunanchal Pradesh,Lower Dibang Valley,28.33923111,95.83026023,POINT (95.83026022616838 28.33923111180803),geometry.representative_point,alternate_layer_confirmed_name,working_strong,0,1,0,,1
DPV_D996B90EC3C32906,IND_ARUNACHAL_PRADESH_LOWER_DIBANG_VALLEY,Census 2011,Census 2011,342,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunachal Pradesh,LOWER DIBANG VALLEY,Arunanchal Pradesh,Lower Dibang Valley,28.33923111,95.83026023,POINT (95.83026022616838 28.33923111180803),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_879A8E8493E7F890,IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI,Census 2001,Census 2001,316,Arunachal Pradesh,LOWER SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,Arunanchal Pradesh,Lower Subansiri,27.85026085,93.51198409,POINT (93.51198409308168 27.850260845041856),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_0BD9EB1D669CDB88,IND_ARUNACHAL_PRADESH_LOWER_SUBANSIRI,Census 2011,Census 2011,343,Arunachal Pradesh,LOWER SUBANSIRI,Arunachal Pradesh,LOWER SUBANSIRI,Arunanchal Pradesh,Lower Subansiri,27.64468433,93.95910463,POINT (93.95910463298867 27.644684333340845),geometry.representative_point,confirmed_exact_unique,confirmed,0,1,0,,1
DPV_7408736210A0E06F,IND_ARUNACHAL_PRADESH_NAMSAI,Census 2001,Census 2001,386,Arunachal Pradesh,NAMSAI,Arunachal Pradesh,NAMSAI,Arunanchal Pradesh,Papum Pare,27.30380652,93.63551522,POINT (93.63551522033083 27.303806518309276),geometry.representative_point,working_fuzzy_same_state,working_fallback,0,1,0,,1
