State_Name,District_Name,first_year,last_year,crop_rows,unique_years,unique_crops,unique_seasons,district_id
Himachal Pradesh,KULLU,1998,2014,532,17,28,3,IND_HIMACHAL_PRADESH_KULLU
Himachal Pradesh,LAHUL AND SPITI,1998,2014,191,17,10,3,IND_HIMACHAL_PRADESH_LAHUL_AND_SPITI
Himachal Pradesh,MANDI,1998,2014,648,17,33,3,IND_HIMACHAL_PRADESH_MANDI
Himachal Pradesh,SHIMLA,1998,2014,633,17,31,3,IND_HIMACHAL_PRADESH_SHIMLA
Himachal Pradesh,SIRMAUR,1998,2014,650,17,33,3,IND_HIMACHAL_PRADESH_SIRMAUR
Himachal Pradesh,SOLAN,1998,2014,544,17,30,3,IND_HIMACHAL_PRADESH_SOLAN
Himachal Pradesh,UNA,1998,2014,503,17,31,3,IND_HIMACHAL_PRADESH_UNA
Jammu and Kashmir,ANANTNAG,1997,2014,240,17,20,3,IND_JAMMU_AND_KASHMIR_ANANTNAG
Jammu and Kashmir,BADGAM,1997,2014,280,17,22,3,IND_JAMMU_AND_KASHMIR_BADGAM
Jammu and Kashmir,BANDIPORA,2007,2014,95,8,17,2,IND_JAMMU_AND_KASHMIR_BANDIPORA
Jammu and Kashmir,BARAMULLA,1997,2014,229,17,26,3,IND_JAMMU_AND_KASHMIR_BARAMULLA
Jammu and Kashmir,DODA,1997,2014,300,17,27,3,IND_JAMMU_AND_KASHMIR_DODA
Jammu and Kashmir,GANDERBAL,2007,2014,60,8,11,2,IND_JAMMU_AND_KASHMIR_GANDERBAL
Jammu and Kashmir,JAMMU,1997,2014,461,17,40,3,IND_JAMMU_AND_KASHMIR_JAMMU
Jammu and Kashmir,KARGIL,1997,2014,104,16,17,3,IND_JAMMU_AND_KASHMIR_KARGIL
Jammu and Kashmir,KATHUA,1997,2014,459,17,38,3,IND_JAMMU_AND_KASHMIR_KATHUA
Jammu and Kashmir,KISHTWAR,2007,2014,118,8,18,2,IND_JAMMU_AND_KASHMIR_KISHTWAR
Jammu and Kashmir,KULGAM,2007,2014,99,8,15,2,IND_JAMMU_AND_KASHMIR_KULGAM
Jammu and Kashmir,KUPWARA,1997,2014,112,15,12,3,IND_JAMMU_AND_KASHMIR_KUPWARA
Jammu and Kashmir,LEH LADAKH,1997,2014,190,17,22,3,IND_JAMMU_AND_KASHMIR_LEH_LADAKH
Jammu and Kashmir,POONCH,1997,2014,189,17,18,3,IND_JAMMU_AND_KASHMIR_POONCH
Jammu and Kashmir,PULWAMA,1997,2014,253,17,17,3,IND_JAMMU_AND_KASHMIR_PULWAMA
Jammu and Kashmir,RAJAURI,1997,2014,296,17,35,3,IND_JAMMU_AND_KASHMIR_RAJAURI
Jammu and Kashmir,RAMBAN,2007,2014,46,8,5,2,IND_JAMMU_AND_KASHMIR_RAMBAN
Jammu and Kashmir,REASI,2007,2014,152,8,29,2,IND_JAMMU_AND_KASHMIR_REASI
Jammu and Kashmir,SAMBA,2007,2014,154,8,26,2,IND_JAMMU_AND_KASHMIR_SAMBA
Jammu and Kashmir,SHOPIAN,2007,2014,58,8,8,2,IND_JAMMU_AND_KASHMIR_SHOPIAN
Jammu and Kashmir,SRINAGAR,1997,2014,277,17,26,3,IND_JAMMU_AND_KASHMIR_SRINAGAR
Jammu and Kashmir,UDHAMPUR,1997,2014,417,17,34,3,IND_JAMMU_AND_KASHMIR_UDHAMPUR
Jharkhand,BOKARO,2002,2014,156,13,9,3,IND_JHARKHAND_BOKARO
Jharkhand,CHATRA,2002,2014,196,13,12,5,IND_JHARKHAND_CHATRA
Jharkhand,DEOGHAR,2002,2014,166,13,10,3,IND_JHARKHAND_DEOGHAR
Jharkhand,DHANBAD,2002,2014,128,13,9,3,IND_JHARKHAND_DHANBAD
Jharkhand,DUMKA,2002,2014,190,13,10,4,IND_JHARKHAND_DUMKA
Jharkhand,EAST SINGHBUM,2002,2014,156,13,12,4,IND_JHARKHAND_EAST_SINGHBUM
Jharkhand,GARHWA,2002,2014,209,13,13,5,IND_JHARKHAND_GARHWA
Jharkhand,GIRIDIH,2002,2014,184,13,9,4,IND_JHARKHAND_GIRIDIH
Jharkhand,GODDA,2002,2014,212,13,12,5,IND_JHARKHAND_GODDA
Jharkhand,GUMLA,2002,2014,210,13,12,5,IND_JHARKHAND_GUMLA
Jharkhand,HAZARIBAGH,2002,2014,232,13,13,5,IND_JHARKHAND_HAZARIBAGH
Jharkhand,JAMTARA,2003,2014,156,12,9,3,IND_JHARKHAND_JAMTARA
Jharkhand,KHUNTI,2008,2014,82,7,11,3,IND_JHARKHAND_KHUNTI
Jharkhand,KODERMA,2002,2014,189,13,12,5,IND_JHARKHAND_KODERMA
Jharkhand,LATEHAR,2003,2014,196,12,12,5,IND_JHARKHAND_LATEHAR
Jharkhand,LOHARDAGA,2002,2014,200,13,12,5,IND_JHARKHAND_LOHARDAGA
Jharkhand,PAKUR,2002,2014,176,13,11,5,IND_JHARKHAND_PAKUR
Jharkhand,PALAMU,2002,2014,222,13,13,5,IND_JHARKHAND_PALAMU
Jharkhand,RAMGARH,2008,2014,79,7,9,3,IND_JHARKHAND_RAMGARH
Jharkhand,RANCHI,2002,2014,217,13,11,5,IND_JHARKHAND_RANCHI
Jharkhand,SAHEBGANJ,2002,2014,170,13,12,5,IND_JHARKHAND_SAHEBGANJ
Jharkhand,SARAIKELA KHARSAWAN,2003,2014,150,12,12,5,IND_JHARKHAND_SARAIKELA_KHARSAWAN
Jharkhand,SIMDEGA,2003,2014,179,12,12,5,IND_JHARKHAND_SIMDEGA
Jharkhand,WEST SINGHBHUM,2002,2014,168,13,11,4,IND_JHARKHAND_WEST_SINGHBHUM
