census_version,source_layer,source_feature_index,raw_state_name,raw_district_name,raw_state_code,raw_district_code,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,geometry_type,geometry_valid,geometry_area_native
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,326,Maharashtra,Pune,27,25,MAHARASHTRA,PUNE,MAHARASHTRA,PUNE,Polygon,True,1.339949770648721
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,327,Bihar,Purba Champaran,10,02,BIHAR,PURBA CHAMPARAN,BIHAR,PURBACHAMPARAN,Polygon,True,0.3606107021751505
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,328,Orissa,Malkangiri,21,30,ORISSA,MALKANGIRI,ORISSA,MALKANGIRI,Polygon,True,0.4972282674095947
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,329,Himachal Pradesh,Mandi,02,05,HIMACHAL PRADESH,MANDI,HIMACHALPRADESH,MANDI,Polygon,True,0.3760107323839452
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,330,Karnataka,Mysore,29,26,KARNATAKA,MYSORE,KARNATAKA,MYSORE,Polygon,True,0.5239793114334382
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,331,Orissa,Nabarangapur,21,28,ORISSA,NABARANGAPUR,ORISSA,NABARANGAPUR,Polygon,True,0.45616890729053394
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,332,West Bengal,Nadia,19,10,WEST BENGAL,NADIA,WESTBENGAL,NADIA,MultiPolygon,True,0.3463789491816018
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,333,Assam,Nagaon,18,10,ASSAM,NAGAON,ASSAM,NAGAON,Polygon,True,0.36078621921936743
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,334,Rajasthan,Nagaur,08,14,RAJASTHAN,NAGAUR,RAJASTHAN,NAGAUR,Polygon,True,1.606514004099141
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,335,Maharashtra,Nagpur,27,09,MAHARASHTRA,NAGPUR,MAHARASHTRA,NAGPUR,Polygon,True,0.8631244495720827
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,336,Uttarakhand,Nainital,05,11,UTTARAKHAND,NAINITAL,UTTARAKHAND,NAINITAL,Polygon,True,0.38453498110154
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,337,Punjab,Mansa,03,15,PUNJAB,MANSA,PUNJAB,MANSA,Polygon,True,0.20654167336824242
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,338,Assam,Marigaon,18,09,ASSAM,MARIGAON,ASSAM,MARIGAON,Polygon,True,0.13970613457487005
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,339,Uttar Pradesh,Mathura,09,14,UTTAR PRADESH,MATHURA,UTTARPRADESH,MATHURA,Polygon,True,0.3065925326110712
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,340,Uttar Pradesh,Mau,09,62,UTTAR PRADESH,MAU,UTTARPRADESH,MAU,Polygon,True,0.18616545286616343
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,341,Uttar Pradesh,Meerut,09,07,UTTAR PRADESH,MEERUT,UTTARPRADESH,MEERUT,Polygon,True,0.24203202281970393
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,342,Punjab,Moga,03,10,PUNJAB,MOGA,PUNJAB,MOGA,Polygon,True,0.15962506894019424
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,343,Nagaland,Mokokchung,13,03,NAGALAND,MOKOKCHUNG,NAGALAND,MOKOKCHUNG,Polygon,True,0.14535734322376426
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,344,Nagaland,Mon,13,01,NAGALAND,MON,NAGALAND,MON,Polygon,True,0.16704796521954507
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,345,Punjab,Muktsar,03,12,PUNJAB,MUKTSAR,PUNJAB,MUKTSAR,Polygon,True,0.24422312047025044
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,346,Maharashtra,Mumbai,27,23,MAHARASHTRA,MUMBAI,MAHARASHTRA,MUMBAI,Polygon,True,0.012803863245530159
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,347,Maharashtra,Mumbai (Suburban),27,22,MAHARASHTRA,MUMBAI (SUBURBAN),MAHARASHTRA,MUMBAISUBURBAN,Polygon,True,0.038865529699441695
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,348,Bihar,Munger,10,24,BIHAR,MUNGER,BIHAR,MUNGER,Polygon,True,0.1281436429768761
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,349,Bihar,Nalanda,10,27,BIHAR,NALANDA,BIHAR,NALANDA,Polygon,True,0.20903041663158256
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,350,Assam,Nalbari,18,07,ASSAM,NALBARI,ASSAM,NALBARI,Polygon,True,0.20443870517924953
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,351,Andhra Pradesh,Nalgonda,28,08,ANDHRA PRADESH,NALGONDA,ANDHRAPRADESH,NALGONDA,Polygon,True,1.1960264501853826
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,352,Tamil Nadu,Namakkal,33,09,TAMIL NADU,NAMAKKAL,TAMILNADU,NAMAKKAL,Polygon,True,0.28206671468577665
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,353,Maharashtra,Nanded,27,15,MAHARASHTRA,NANDED,MAHARASHTRA,NANDED,Polygon,True,0.9097685518648682
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,354,Maharashtra,Nandurbar,27,01,MAHARASHTRA,NANDURBAR,MAHARASHTRA,NANDURBAR,Polygon,True,0.5145393201931049
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,355,Gujarat,Narmada,24,20,GUJARAT,NARMADA,GUJARAT,NARMADA,Polygon,True,0.22487489696419724
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,356,Madhya Pradesh,Narsimhapur,23,40,MADHYA PRADESH,NARSIMHAPUR,MADHYAPRADESH,NARSIMHAPUR,Polygon,True,0.45284251744677256
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,357,Maharashtra,Nashik,27,20,MAHARASHTRA,NASHIK,MAHARASHTRA,NASHIK,Polygon,True,1.3451230339178144
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,358,Andhra Pradesh,Nellore,28,19,ANDHRA PRADESH,NELLORE,ANDHRAPRADESH,NELLORE,Polygon,True,1.099944174725766
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,359,Madhya Pradesh,Neemuch,23,18,MADHYA PRADESH,NEEMUCH,MADHYAPRADESH,NEEMUCH,Polygon,True,0.3709775834349747
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,360,Sikkim,North,11,01,SIKKIM,NORTH,SIKKIM,NORTH,Polygon,True,0.3900118895936034
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,361,West Bengal,North Twenty Four Parganas,19,11,WEST BENGAL,NORTH TWENTY FOUR PARGANAS,WESTBENGAL,NORTHTWENTYFOURPARGANAS,MultiPolygon,True,0.5090637844273669
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,362,Assam,North Cachar Hills,18,20,ASSAM,NORTH CACHAR HILLS,ASSAM,NORTHCACHARHILLS,Polygon,True,0.4399750769812994
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,363,Gujarat,Navsari,24,24,GUJARAT,NAVSARI,GUJARAT,NAVSARI,Polygon,True,0.1931437755141518
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,364,Bihar,Nawada,10,36,BIHAR,NAWADA,BIHAR,NAWADA,Polygon,True,0.22157199404994327
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,365,Punjab,Nawanshahr,03,06,PUNJAB,NAWANSHAHR,PUNJAB,NAWANSHAHR,Polygon,True,0.12300260264003329
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,366,Orissa,Nayagarh,21,16,ORISSA,NAYAGARH,ORISSA,NAYAGARH,Polygon,True,0.336127637328836
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,367,Tamil Nadu,The Nilgiris,33,11,TAMIL NADU,THE NILGIRIS,TAMILNADU,THENILGIRIS,Polygon,True,0.21162471737777455
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,368,Andhra Pradesh,Nizamabad,28,02,ANDHRA PRADESH,NIZAMABAD,ANDHRAPRADESH,NIZAMABAD,Polygon,True,0.6769030192070216
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,369,Maharashtra,Osmanabad,27,29,MAHARASHTRA,OSMANABAD,MAHARASHTRA,OSMANABAD,Polygon,True,0.6460778785107953
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,370,Jharkhand,Pakaur,20,10,JHARKHAND,PAKAUR,JHARKHAND,PAKAUR,Polygon,True,0.16164765954608443
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,371,Kerala,Palakkad,32,06,KERALA,PALAKKAD,KERALA,PALAKKAD,Polygon,True,0.3709913803017621
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,372,Rajasthan,Pali,08,20,RAJASTHAN,PALI,RAJASTHAN,PALI,Polygon,True,1.1112574661337187
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,373,Goa,North Goa,30,01,GOA,NORTH GOA,GOA,NORTHGOA,Polygon,True,0.14156435011777574
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,374,Tripura,North Tripura,16,04,TRIPURA,NORTH TRIPURA,TRIPURA,NORTHTRIPURA,Polygon,True,0.18165567602134106
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,375,Orissa,Nuapada,21,25,ORISSA,NUAPADA,ORISSA,NUAPADA,Polygon,True,0.33446419676633876
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,376,Haryana,Panchkula,06,01,HARYANA,PANCHKULA,HARYANA,PANCHKULA,Polygon,True,0.06957892492712686
