model_run_id,experiment_family,model_name,model_family,feature_set,target_strategy,hyperparameters_json,preprocessing_family,training_scope,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,worst_fold_mae,worst_fold_rmse,total_fit_seconds,successful_folds,failed_folds,simplicity_rank,test_data_accessed
cv_direct_tree_depth_16_leaf_10_core_without_lag,direct,DecisionTree,tree,core_without_lag,direct,"{""max_depth"": 16, ""min_samples_leaf"": 10}",tree,full_train,1.4525952726565634,0.046547622577653214,5.817791834156779,0.37744127577672315,0.780598014520702,0.019794511762238367,1.5042886416218406,6.335601734235083,15.409568999981275,3,0,5,False
cv_direct_tree_depth_none_leaf_20_core_without_lag,direct,DecisionTree,tree,core_without_lag,direct,"{""max_depth"": null, ""min_samples_leaf"": 20}",tree,full_train,1.4660747882134686,0.042014728622752504,5.76048397635731,0.4742191626596967,0.7846406381281842,0.02720803629477034,1.5163337210261052,6.427827266918087,18.395349099999294,3,0,5,False
cv_direct_tree_depth_12_leaf_20_core_with_lag,direct,DecisionTree,tree,core_with_lag,direct,"{""max_depth"": 12, ""min_samples_leaf"": 20}",tree,full_train,1.5056655138804629,0.10641181605546796,5.408929981735074,0.25796517541839603,0.8103701622512637,0.01196014057447756,1.6561357056114538,5.681820481787293,12.7319853999943,3,0,5,False
cv_direct_tree_depth_none_leaf_20_core_with_lag,direct,DecisionTree,tree,core_with_lag,direct,"{""max_depth"": null, ""min_samples_leaf"": 20}",tree,full_train,1.5056692750083833,0.10500311260651646,5.964199411105548,0.8055189953063472,0.7672074585963612,0.052744153024289614,1.6043135464613596,6.856833291127596,19.174278999998933,3,0,5,False
cv_direct_tree_depth_16_leaf_10_core_with_lag,direct,DecisionTree,tree,core_with_lag,direct,"{""max_depth"": 16, ""min_samples_leaf"": 10}",tree,full_train,1.5358364458195866,0.09615929219765663,6.491917033237207,0.6388458850381143,0.7237839213060145,0.05763407079238954,1.671619801816658,7.36987790067278,15.827491100004409,3,0,5,False
cv_direct_rf_200_depth_25_leaf_5_maxfeat_sqrt_core_with_lag,direct,RandomForest,tree,core_with_lag,direct,"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,1.5741556643897658,0.06921498636720504,4.660509601569004,0.3330912655526294,0.8591266160325791,0.014853215718311122,1.6341257269314795,5.13140013687742,52.09485200000927,3,0,6,False
cv_direct_tree_depth_none_leaf_50_core_without_lag,direct,DecisionTree,tree,core_without_lag,direct,"{""max_depth"": null, ""min_samples_leaf"": 50}",tree,full_train,1.5858273777477088,0.0340175001993094,6.379737323305281,1.0934476246617333,0.7279254033288471,0.09736139609193929,1.6263103385265745,7.879399070866201,15.29139060000307,3,0,5,False
cv_direct_rf_250_depth_none_leaf_10_maxfeat_sqrt_core_with_lag,direct,RandomForest,tree,core_with_lag,direct,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 250, ""n_jobs"": -1}",tree,full_train,1.6005530065251923,0.06751447844937924,4.687081983978583,0.3008499507985681,0.8575652624546728,0.013012566140294576,1.6560968448709237,5.111394886130217,67.42158130003372,3,0,6,False
cv_direct_rf_200_depth_none_leaf_20_maxfeat_0_5_core_without_lag,direct,RandomForest,tree,core_without_lag,direct,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,1.6014921485647058,0.04454046293188341,4.9161742248814315,0.45292885877405203,0.842988541546883,0.023070827640836965,1.6596667103413223,5.556415409309795,161.55152310000267,3,0,6,False
cv_direct_tree_depth_12_leaf_20_core_without_lag,direct,DecisionTree,tree,core_without_lag,direct,"{""max_depth"": 12, ""min_samples_leaf"": 20}",tree,full_train,1.602218192071148,0.0234886896203776,5.828652777996698,0.46875268360199507,0.7795550031991794,0.026913426999403696,1.6350968932212864,6.483701627689942,13.01721359998919,3,0,5,False
