model_run_id,phase,application_track,experiment_family,model_name,model_family,feature_set,target_strategy,fold_id,fit_start_year,fit_end_year,evaluation_start_year,evaluation_end_year,hyperparameters_json,preprocessing_family,training_scope,fit_rows,evaluation_rows,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,lag_subset_rows,lag_subset_mae,lag_subset_rmse,baseline_fold_mae,mae_improvement_over_lag_baseline,time_cv_mean_mae,time_cv_std_mae,time_cv_worst_fold_mae,status,warning_count,warning_summary,error_type,error_message,random_state,test_data_accessed
cv_direct_linearsvr_c_0_03_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,141406,30096,3.4246622000064235,0.1203411000024061,2.138558043233868,7.256587778261667,0.645171219299254,0.3653027257519102,25723,2.118289308558488,7.45950951807741,1.0556765933106236,-1.0828814499232446,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_03_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,171502,30662,4.307347099995241,0.1156362000037916,2.1946235843312745,7.559784630422738,0.6489737870451312,0.3783240783608051,25900,2.300839214454511,7.8868035613167,1.1219907041916857,-1.072632880139589,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_03_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.03, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,112384,29022,2.472086199995829,0.1151112999941688,2.186327095663545,7.235083641667176,0.6553372144524753,0.3522409935985249,24402,2.1485154393736616,7.318140266835608,1.0469628406265556,-1.1393642550369891,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_03_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.03, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,141406,30096,3.341829800017877,0.1247510999965015,2.137879394377699,7.2535329327405,0.6454699048487276,0.3686306844378235,25723,2.117392259432189,7.456352069593838,1.0556765933106236,-1.0822028010670752,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_03_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.03, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,171502,30662,4.451103599974886,0.1240485000016633,2.19337276976108,7.556070779076347,0.6493185955328844,0.3812626859647509,25900,2.299326461042183,7.882819136362834,1.1219907041916857,-1.0713820655693944,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_1_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,112384,29022,5.16854750001221,0.1268865999882109,2.108888497489465,6.792183288086917,0.6962431537639815,0.3518738391812636,24402,2.0625960249477253,6.85054321482834,1.0469628406265556,-1.0619256568629094,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_1_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,141406,30096,7.192086199996993,0.1273434000031557,2.093194306242344,6.940268094517792,0.6754314562206021,0.3677435820592624,25723,2.065627348116984,7.117046898848234,1.0556765933106236,-1.0375177129317203,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_1_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,171502,30662,8.97456780000357,0.1200324000092223,2.142261609296383,7.255063992826404,0.6767018664513507,0.3836925377100019,25900,2.234049207777032,7.533217570340032,1.1219907041916857,-1.0202709051046976,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_1_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,112384,29022,5.190739399986342,0.1157249999814666,2.107973362322308,6.788528889398646,0.6965699264535905,0.3554022564424198,24402,2.0618582776467425,6.846805191984419,1.0469628406265556,-1.061010521695752,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_1_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,141406,30096,7.01730169999064,0.1228482000005897,2.0914602402725504,6.933990254198538,0.6760183695527444,0.3708694109383053,25723,2.0638348286145485,7.110573027964941,1.0556765933106236,-1.0357836469619268,,,,completed,0,,,,42,False
