canonical_state_name,Crop_Year,Season_canonical,Crop_canonical,area_ratio_pattern,production_ratio_pattern,row_count,corrected_production_matches,legacy_area_min,legacy_area_max,expanded_area_min,expanded_area_max,legacy_target_min,legacy_target_max,expanded_target_min,expanded_target_max,selected_sources,source_overlap_statuses
Himachal Pradesh,2010,Kharif,Groundnut,other,other,3,0,6.0,44.0,11.0,27.0,0.6136363636363636,1.0,0.4545454545454545,0.8518518518518519,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2002,Autumn,Rice,1,1,3,3,4763.68,9311.57,4763.68,9311.57,0.5733329610366459,1.3324677560205551,0.5733332832164717,1.332467126255332,legacy_source,conflict_unresolved_legacy_retained
Karnataka,2004,Kharif,Rice,1,other,3,0,29.0,679.0,29.0,679.0,1.6244827586206896,2.79296875,1.6245,2.793,legacy_source,conflict_unresolved_legacy_retained
Karnataka,2008,Whole Year,Cashewnut,1,1,3,3,883.0,30941.0,883.0,30941.0,0.6078601208752141,0.6147904869762174,0.60786,0.6147900000000001,legacy_source,conflict_unresolved_legacy_retained
Kerala,2010,Autumn,Rice,1,other,3,0,112.56,418.33,112.56,418.33,1.265736692345062,2.589988764850716,1.2657297522381843,2.5899959362225995,legacy_source,conflict_unresolved_legacy_retained
Kerala,2011,Winter,Rice,1,other,3,0,474.82,2276.29,474.82,2276.29,1.2669519261605506,2.9067014868792387,1.266953683405893,2.906693062634262,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2005,Kharif,Moong(Green Gram),1,other,3,0,100.0,200.0,100.0,200.0,0.1,0.5,0.5,1.0,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Whole Year,Sugarcane,100,other,3,0,1042.0,1545.0,104200.0,154500.0,78.0,97.0,78.25956489122281,97.4827255278311,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Kharif,Cowpea(Lobia),other,other,2,0,999.0,1074.0,1000.0,1000.0,0.2762762762762762,0.3929236499068901,1.0,1.0,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Kharif,Horse-gram,other,other,2,0,848.0,3473.0,1000.0,3000.0,0.6945754716981132,0.6950763029081486,0.6666666666666666,1.0,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Kharif,Mesta,other,other,2,0,2269.0,12243.0,3000.0,12000.0,6.422212428382547,9.027770971167197,5.0,9.25,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Rabi,Cowpea(Lobia),other,other,2,0,526.0,5437.0,1000.0,6000.0,0.9144486692015208,1.1980871804303843,1.0,1.1666666666666667,legacy_source,conflict_unresolved_legacy_retained
Assam,2010,Whole Year,Coconut,1,other,2,0,51.0,1390.0,51.0,1390.0,2176.470588235294,5790.6474820143885,5769.064748201439,7215.686274509804,legacy_source,conflict_unresolved_legacy_retained
Goa,2013,Whole Year,Coconut,1,other,2,0,11379.0,14371.0,11379.0,14371.0,0.04956498813604,0.0498921439009115,4956.498813604007,4989.214390091156,legacy_source,conflict_unresolved_legacy_retained
Goa,2014,Whole Year,Coconut,1,other,2,0,11399.0,14387.0,11399.0,14387.0,0.0494780243881042,0.049628136512129,4947.802438810422,4962.8136512129,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Rabi,Linseed,other,other,2,0,264.0,783.0,203.0,752.0,0.2083333333333333,0.264367816091954,0.2686170212765957,0.2758620689655172,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2004,Rabi,Onion,1,other,2,0,75.14,443.18,75.14,443.18,5.541991967146531,14.72504657971786,5.5419987364050725,14.724993345754593,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2005,Winter,Rice,1,other,2,0,7222.98,26965.14,7222.98,26965.14,0.0798301065746367,0.3126673478259665,0.0798302301786677,0.312666886382075,legacy_source,conflict_unresolved_legacy_retained
